                   frame  Start Frame
    0.004 ms  2097 cook            /project1/Send/pelvis_x (CHOP:select)
    0.006 ms  2097 cook             /project1/Send/select8 (CHOP:select)
    0.002 ms  2097 cook          /project1/Send/null33 (CHOP:null)
    0.010 ms  2097 cook           /project1/Send/express3 (CHOP:express)
    0.004 ms  2097 cook            /project1/Send/pelvis_z (CHOP:select)
    0.001 ms  2097 cook          /project1/Send/null34 (CHOP:null)
    0.003 ms  2097 cook           /project1/Send/Vis (CHOP:select)
    0.005 ms  2097 cook     /project1/Send/Out_trigger (CHOP:trigger)
    0.003 ms  2097 cook      /project1/Send/rename8 (CHOP:rename)
    0.015 ms  2097 cook       /project1/Send/script1 (CHOP:script)
    0.003 ms  2097 cook        /project1/Send/select_Vis (CHOP:select)
    0.956 ms       script    /project1/Send/chopexec4 /project1/Send/chopexec4 (DAT:chopexec)
    0.958 ms       script    /project1/Send/chopexec4 /project1/Send/chopexec4 (DAT:chopexec)
    0.003 ms  2098 cook   Chain Start  /ui/local/time/clock (CHOP:null)
    0.010 ms  2098 cook     /ui/local/time/scrubber (CHOP:switch)
    0.006 ms  2098 cook      /ui/local/time/independent (CHOP:switch)
    0.010 ms  2098 cook       /ui/local/time/cframe (CHOP:speed)
    0.012 ms  2097 cook   Chain Start  /ui/dialogs/mainmenu/lock (DAT:chopexec)
    0.012 ms  2097 cook     /ui/dialogs/mainmenu/perform2 (CHOP:perform)
    0.008 ms  2097 cook   Chain Start  /ui/dialogs/menu_op/focusClose (DAT:chopexec)
    0.010 ms  2097 cook     /ui/dialogs/menu_op/combinedFocus (CHOP:logic)
    0.001 ms       misc   Frame Start Global Maintenance
    0.004 ms       misc   Network Message Check /project1/Send/oscin3 (CHOP:oscin)
    0.001 ms       misc   Network Message Check /project1/Receive/oscin1 (CHOP:oscin)
    0.000 ms       misc   Network Message Check /project1/Receive/oscin3 (CHOP:oscin)
    0.002 ms       misc   CHOP_Beat /local/master_beat (CHOP:beat)
    0.007 ms  2096 cook    Chain Start  /local/master_beat (CHOP:beat)
    0.004 ms       misc   Selective/Force Cook Check /ui/dialogs/mainmenu/fps1/null1 (CHOP:null)
    0.012 ms  2097 cook    Chain Start  /ui/dialogs/mainmenu/fps1/count1 (CHOP:count)
    0.002 ms       misc   Selective/Force Cook Check /ui/dialogs/mainmenu/null2 (CHOP:null)
    0.007 ms  2097 cook    Chain Start  /ui/dialogs/mainmenu/select2 (CHOP:select)
    0.005 ms  2098 cook      /ui/dialogs/mainmenu/perform1 (CHOP:perform)
    0.002 ms       misc   Selective/Force Cook Check /ui/dialogs/mainmenu/cookrate (CHOP:null)
    0.004 ms  2097 cook    Chain Start  /ui/dialogs/mainmenu/select3 (CHOP:select)
    0.017 ms       misc   CHOP_Beat /ui/dialogs/timeline/transport/musiccode/beat (CHOP:beat)
    0.012 ms  2096 cook    Chain Start  /ui/dialogs/timeline/transport/musiccode/beat (CHOP:beat)
    0.003 ms       misc   Selective/Force Cook Check /ui/dialogs/keyframer/timeline/attributes (CHOP:null)
    0.004 ms  2097 cook    Chain Start  /ui/dialogs/keyframer/timeline/replace1 (CHOP:replace)
    0.011 ms  2097 cook      /ui/dialogs/keyframer/timeline/constant2 (CHOP:constant)
    0.004 ms  2097 cook       /ui/dialogs/keyframer/timeline/merge1 (CHOP:merge)
